deficiency_id,project_id,created_date,due_date,closed_date,status,priority
P001_DEF_001,P001,2026-01-11,2026-01-17,,Open,High
P001_DEF_002,P001,2026-01-17,2026-01-24,2026-02-01,Closed,Medium
P001_DEF_003,P001,2026-03-10,2026-03-25,,Open,Low
P001_DEF_004,P001,2026-01-20,2026-02-13,2026-02-16,Closed,High
P001_DEF_005,P001,2026-04-10,2026-04-26,,Open,Medium
P001_DEF_006,P001,2026-06-28,2026-07-18,2026-07-18,Closed,Medium
P001_DEF_007,P001,2026-02-10,2026-02-19,2026-02-11,Closed,Low
P001_DEF_008,P001,2026-03-01,2026-03-20,2026-03-26,Closed,Medium
P001_DEF_009,P001,2026-07-27,2026-08-15,2026-08-23,Closed,High
P001_DEF_010,P001,2026-02-21,2026-03-22,2026-03-01,Closed,Medium
P001_DEF_011,P001,2026-02-21,2026-03-15,2026-02-24,Closed,Medium
P001_DEF_012,P001,2026-02-23,2026-03-20,2026-02-26,Closed,Low
P001_DEF_013,P001,2026-07-30,2026-08-28,,Open,Medium
P001_DEF_014,P001,2026-04-10,2026-04-26,,Open,Medium
P001_DEF_015,P001,2026-02-19,2026-03-20,,Open,Medium
P001_DEF_016,P001,2025-12-12,2026-01-06,2025-12-20,Closed,Low
P001_DEF_017,P001,2026-01-21,2026-02-11,,Open,Low
P001_DEF_018,P001,2026-06-11,2026-07-03,2026-07-12,Closed,Medium
P001_DEF_019,P001,2026-08-03,2026-08-20,2026-08-11,Closed,Medium
P001_DEF_020,P001,2026-02-16,2026-03-16,,Open,Low
P001_DEF_021,P001,2026-06-29,2026-07-18,2026-07-21,Closed,Low
P001_DEF_022,P001,2026-03-06,2026-03-20,2026-04-08,Closed,Medium
P002_DEF_001,P002,2026-07-12,2026-07-25,2026-08-14,Closed,High
P002_DEF_002,P002,2026-03-13,2026-04-08,2026-04-08,Closed,Medium
P002_DEF_003,P002,2025-12-15,2026-01-03,,Open,Low
P002_DEF_004,P002,2026-06-26,2026-07-08,2026-06-29,Closed,High
