inspection_id,project_id,inspection_date,inspection_type,result
P001_INS_001,P001,2026-05-08,General,Passed
P001_INS_002,P001,2026-06-26,Quality,Action Required
P001_INS_003,P001,2026-06-18,General,Passed
P001_INS_004,P001,2026-08-02,Safety,Action Required
P001_INS_005,P001,2026-05-23,General,Action Required
P001_INS_006,P001,2026-04-18,Safety,Action Required
P001_INS_007,P001,2026-05-17,General,Passed
P001_INS_008,P001,2026-04-27,Safety,Passed
P001_INS_009,P001,2026-08-04,General,Action Required
P001_INS_010,P001,2026-07-19,Quality,Passed
P001_INS_011,P001,2026-04-01,Safety,Passed
P001_INS_012,P001,2026-08-07,Quality,Passed
P001_INS_013,P001,2026-06-03,Safety,Passed
P001_INS_014,P001,2026-05-24,General,Action Required
P001_INS_015,P001,2026-02-28,General,Passed
P001_INS_016,P001,2026-05-03,Quality,Passed
P001_INS_017,P001,2026-03-15,General,Passed
P001_INS_018,P001,2026-06-30,Safety,Action Required
P002_INS_001,P002,2026-02-24,Safety,Passed
P002_INS_002,P002,2026-04-28,General,Passed
P002_INS_003,P002,2026-08-10,Quality,Passed
P002_INS_004,P002,2026-03-26,Safety,Passed
P002_INS_005,P002,2026-02-25,Safety,Passed
P002_INS_006,P002,2026-02-25,Safety,Passed
P002_INS_007,P002,2026-08-01,Quality,Passed
P002_INS_008,P002,2026-05-10,General,Passed
P002_INS_009,P002,2026-06-29,Quality,Passed
P002_INS_010,P002,2026-06-13,Quality,Passed
P002_INS_011,P002,2026-07-29,General,Passed
P002_INS_012,P002,2026-03-09,Quality,Passed
P002_INS_013,P002,2026-05-22,Quality,Passed
P002_INS_014,P002,2026-02-18,General,Passed
P002_INS_015,P002,2026-04-16,Safety,Action Required
P002_INS_016,P002,2026-03-21,Safety,Passed
P002_INS_017,P002,2026-02-19,Quality,Action Required
P002_INS_018,P002,2026-06-02,General,Passed
P003_INS_001,P003,2026-05-18,General,Action Required
P003_INS_002,P003,2026-06-14,Quality,Passed
P003_INS_003,P003,2026-07-06,General,Action Required
P003_INS_004,P003,2026-08-03,Safety,Passed
P003_INS_005,P003,2026-03-14,General,Action Required
P003_INS_006,P003,2026-06-16,Quality,Passed
P003_INS_007,P003,2026-04-19,General,Passed
P003_INS_008,P003,2026-06-01,General,Passed
P003_INS_009,P003,2026-02-26,Quality,Action Required
P003_INS_010,P003,2026-04-16,Safety,Action Required
P003_INS_011,P003,2026-06-21,General,Passed
P003_INS_012,P003,2026-08-05,General,Passed
P003_INS_013,P003,2026-06-14,General,Passed
P003_INS_014,P003,2026-02-17,Safety,Passed
P003_INS_015,P003,2026-08-11,General,Passed
P003_INS_016,P003,2026-04-16,Quality,Passed
P003_INS_017,P003,2026-06-02,Safety,Action Required
P003_INS_018,P003,2026-08-03,Quality,Passed
P004_INS_001,P004,2026-04-13,Quality,Action Required
P004_INS_002,P004,2026-03-14,Safety,Action Required
P004_INS_003,P004,2026-08-05,General,Passed
P004_INS_004,P004,2026-08-09,General,Passed
P004_INS_005,P004,2026-04-12,General,Passed
P004_INS_006,P004,2026-04-03,Safety,Passed
P004_INS_007,P004,2026-07-08,Quality,Action Required
P004_INS_008,P004,2026-05-25,Safety,Passed
P004_INS_009,P004,2026-06-13,Quality,Action Required
P004_INS_010,P004,2026-06-08,Safety,Passed
P004_INS_011,P004,2026-07-12,Safety,Passed
P004_INS_012,P004,2026-05-26,Quality,Passed
P004_INS_013,P004,2026-06-27,Quality,Passed
P004_INS_014,P004,2026-06-30,Quality,Action Required
P004_INS_015,P004,2026-05-06,General,Passed
P004_INS_016,P004,2026-08-07,Quality,Action Required
P004_INS_017,P004,2026-06-17,Quality,Passed
P004_INS_018,P004,2026-07-22,Safety,Passed
P005_INS_001,P005,2026-04-29,Quality,Passed
P005_INS_002,P005,2026-03-08,Safety,Action Required
P005_INS_003,P005,2026-05-29,Quality,Passed
P005_INS_004,P005,2026-08-01,Safety,Passed
P005_INS_005,P005,2026-07-28,General,Passed
P005_INS_006,P005,2026-05-18,Quality,Passed
P005_INS_007,P005,2026-06-05,General,Passed
P005_INS_008,P005,2026-06-01,Quality,Action Required
P005_INS_009,P005,2026-06-12,General,Action Required
P005_INS_010,P005,2026-07-23,Safety,Action Required
P005_INS_011,P005,2026-07-28,Safety,Passed
P005_INS_012,P005,2026-04-18,Quality,Passed
P005_INS_013,P005,2026-04-16,General,Action Required
P005_INS_014,P005,2026-07-31,General,Action Required
P005_INS_015,P005,2026-03-03,General,Passed
P005_INS_016,P005,2026-04-11,General,Passed
P005_INS_017,P005,2026-07-12,Safety,Passed
P005_INS_018,P005,2026-03-07,General,Passed
