rfi_id,project_id,created_date,due_date,closed_date,status
P001_RFI_001,P001,2026-05-03,2026-05-11,2026-05-12,Closed
P001_RFI_002,P001,2026-02-06,2026-02-15,,Open
P001_RFI_003,P001,2026-01-11,2026-01-26,2026-02-17,Closed
P001_RFI_004,P001,2026-03-15,2026-03-22,,Open
P001_RFI_005,P001,2025-11-29,2025-12-11,2026-01-07,Closed
P001_RFI_006,P001,2026-02-03,2026-02-19,,Open
P001_RFI_007,P001,2026-07-23,2026-08-09,2026-08-20,Closed
P001_RFI_008,P001,2026-06-16,2026-07-05,,Open
P001_RFI_009,P001,2026-02-07,2026-02-27,,Open
P001_RFI_010,P001,2026-02-20,2026-03-10,,Open
P001_RFI_011,P001,2026-06-20,2026-06-28,2026-06-24,Closed
P001_RFI_012,P001,2026-04-01,2026-04-10,2026-04-20,Closed
P001_RFI_013,P001,2026-05-17,2026-06-02,2026-05-27,Closed
P001_RFI_014,P001,2026-06-22,2026-06-28,2026-06-30,Closed
P001_RFI_015,P001,2025-11-23,2025-12-12,,Open
P001_RFI_016,P001,2026-05-25,2026-06-02,,Open
P001_RFI_017,P001,2026-08-12,2026-08-30,2026-08-17,Closed
P001_RFI_018,P001,2026-02-04,2026-02-10,2026-03-11,Closed
P001_RFI_019,P001,2026-01-24,2026-02-11,2026-02-25,Closed
P001_RFI_020,P001,2025-11-16,2025-11-28,2025-12-08,Closed
P001_RFI_021,P001,2026-01-18,2026-02-04,,Open
P001_RFI_022,P001,2026-06-22,2026-07-04,2026-07-22,Closed
P001_RFI_023,P001,2026-07-30,2026-08-16,,Open
P001_RFI_024,P001,2026-08-05,2026-08-17,2026-08-14,Closed
P001_RFI_025,P001,2026-06-12,2026-06-27,,Open
P002_RFI_001,P002,2026-03-04,2026-03-11,2026-03-10,Closed
P002_RFI_002,P002,2025-12-26,2026-01-09,,Open
P002_RFI_003,P002,2026-04-01,2026-04-14,2026-05-06,Closed
P002_RFI_004,P002,2026-07-12,2026-08-01,2026-08-06,Closed
P002_RFI_005,P002,2025-10-25,2025-11-01,2025-11-17,Closed
P002_RFI_006,P002,2026-07-10,2026-07-15,2026-07-25,Closed
P002_RFI_007,P002,2026-04-05,2026-04-10,2026-04-20,Closed
P002_RFI_008,P002,2025-11-04,2025-11-17,2025-12-01,Closed
P002_RFI_009,P002,2026-07-03,2026-07-19,,Open
P002_RFI_010,P002,2026-06-12,2026-07-02,2026-07-15,Closed
P002_RFI_011,P002,2026-01-04,2026-01-13,,Open
P002_RFI_012,P002,2025-12-20,2026-01-08,2026-01-26,Closed
P002_RFI_013,P002,2026-08-01,2026-08-21,2026-08-24,Closed
P002_RFI_014,P002,2025-11-03,2025-11-09,2025-11-10,Closed
P002_RFI_015,P002,2025-11-03,2025-11-19,,Open
P002_RFI_016,P002,2025-11-01,2025-11-19,2025-11-30,Closed
P002_RFI_017,P002,2025-12-26,2026-01-13,,Open
P002_RFI_018,P002,2025-11-04,2025-11-22,,Open
P002_RFI_019,P002,2025-12-24,2025-12-31,,Open
P002_RFI_020,P002,2026-03-30,2026-04-17,,Open
P002_RFI_021,P002,2025-12-23,2026-01-08,,Open
P002_RFI_022,P002,2026-03-07,2026-03-27,2026-03-20,Closed
P002_RFI_023,P002,2025-10-23,2025-10-29,2025-11-30,Closed
P002_RFI_024,P002,2026-04-23,2026-05-05,,Open
P002_RFI_025,P002,2026-04-23,2026-04-29,2026-05-17,Closed
P003_RFI_001,P003,2026-01-02,2026-01-07,2026-01-05,Closed
P003_RFI_002,P003,2026-06-22,2026-07-08,2026-06-29,Closed
P003_RFI_003,P003,2025-12-10,2025-12-18,,Open
P003_RFI_004,P003,2026-02-11,2026-02-26,,Open
P003_RFI_005,P003,2025-10-24,2025-11-05,2025-11-28,Closed
P003_RFI_006,P003,2026-01-28,2026-02-07,2026-02-14,Closed
P003_RFI_007,P003,2026-05-09,2026-05-22,,Open
P003_RFI_008,P003,2025-11-28,2025-12-06,,Open
P003_RFI_009,P003,2026-03-20,2026-03-28,2026-04-23,Closed
P003_RFI_010,P003,2026-04-08,2026-04-19,2026-04-10,Closed
P003_RFI_011,P003,2025-11-20,2025-12-06,2025-12-14,Closed
P003_RFI_012,P003,2025-10-20,2025-10-27,,Open
P003_RFI_013,P003,2026-03-23,2026-04-06,2026-03-26,Closed
P003_RFI_014,P003,2025-12-03,2025-12-19,2026-01-05,Closed
P003_RFI_015,P003,2026-08-05,2026-08-18,,Open
P003_RFI_016,P003,2026-01-18,2026-01-25,2026-02-21,Closed
P003_RFI_017,P003,2026-04-20,2026-05-05,2026-05-27,Closed
P003_RFI_018,P003,2026-05-02,2026-05-10,2026-05-28,Closed
P003_RFI_019,P003,2026-05-07,2026-05-20,,Open
P003_RFI_020,P003,2026-02-01,2026-02-11,2026-03-10,Closed
P003_RFI_021,P003,2026-03-06,2026-03-14,,Open
P003_RFI_022,P003,2025-11-10,2025-11-30,2025-11-19,Closed
P003_RFI_023,P003,2026-04-01,2026-04-08,2026-05-05,Closed
P003_RFI_024,P003,2026-02-19,2026-03-07,2026-03-14,Closed
P003_RFI_025,P003,2026-07-23,2026-08-10,2026-08-31,Closed
P004_RFI_001,P004,2026-06-24,2026-07-04,2026-07-22,Closed
P004_RFI_002,P004,2025-12-31,2026-01-09,2026-01-29,Closed
P004_RFI_003,P004,2026-03-20,2026-03-28,,Open
P004_RFI_004,P004,2026-06-26,2026-07-16,,Open
P004_RFI_005,P004,2026-01-06,2026-01-24,2026-01-13,Closed
P004_RFI_006,P004,2026-05-07,2026-05-23,,Open
P004_RFI_007,P004,2025-11-07,2025-11-24,2025-12-09,Closed
P004_RFI_008,P004,2026-05-07,2026-05-23,2026-05-29,Closed
P004_RFI_009,P004,2026-03-06,2026-03-26,2026-03-25,Closed
P004_RFI_010,P004,2025-11-06,2025-11-20,2025-11-10,Closed
P004_RFI_011,P004,2026-02-21,2026-03-05,,Open
P004_RFI_012,P004,2026-03-16,2026-03-22,,Open
P004_RFI_013,P004,2025-11-14,2025-11-26,2025-12-14,Closed
P004_RFI_014,P004,2026-02-25,2026-03-08,2026-03-23,Closed
P004_RFI_015,P004,2026-08-01,2026-08-17,2026-09-07,Closed
P004_RFI_016,P004,2026-02-22,2026-03-02,2026-03-11,Closed
