safety_id,project_id,incident_date,incident_type,lost_time_flag,recordable_flag
P001_SAF_001,P001,2025-10-27,Near Miss,0,0
P001_SAF_002,P001,2025-11-01,Medical Treatment,0,1
P001_SAF_003,P001,2026-03-17,Near Miss,0,0
P001_SAF_004,P001,2026-07-09,First Aid,0,0
P001_SAF_005,P001,2025-10-31,Lost Time Injury,1,1
P001_SAF_006,P001,2025-10-07,Medical Treatment,0,1
P001_SAF_007,P001,2026-03-09,First Aid,0,0
P001_SAF_008,P001,2026-08-02,First Aid,0,0
P001_SAF_009,P001,2026-03-31,Near Miss,0,0
P001_SAF_010,P001,2026-03-23,Medical Treatment,0,1
P001_SAF_011,P001,2025-11-08,Near Miss,0,0
P001_SAF_012,P001,2026-05-02,Near Miss,0,0
P001_SAF_013,P001,2025-08-19,Near Miss,0,0
P001_SAF_014,P001,2025-09-27,Medical Treatment,0,1
P001_SAF_015,P001,2026-03-18,Medical Treatment,0,1
P001_SAF_016,P001,2025-12-26,Near Miss,0,0
P001_SAF_017,P001,2025-11-15,Medical Treatment,0,1
P001_SAF_018,P001,2025-12-31,First Aid,0,0
P001_SAF_LTI,P001,2026-03-25,Lost Time Injury,1,1
P002_SAF_001,P002,2026-03-16,Near Miss,0,0
P002_SAF_002,P002,2026-06-09,Near Miss,0,0
P002_SAF_003,P002,2025-11-29,Near Miss,0,0
P002_SAF_004,P002,2025-09-17,Lost Time Injury,1,1
P002_SAF_005,P002,2026-02-05,Medical Treatment,0,1
P002_SAF_006,P002,2026-01-30,First Aid,0,0
P002_SAF_007,P002,2025-11-25,Medical Treatment,0,1
P002_SAF_008,P002,2026-03-24,Lost Time Injury,1,1
P002_SAF_009,P002,2026-05-05,Lost Time Injury,1,1
P002_SAF_010,P002,2026-08-02,Near Miss,0,0
P002_SAF_011,P002,2026-07-03,Lost Time Injury,1,1
P002_SAF_012,P002,2025-10-27,First Aid,0,0
P002_SAF_013,P002,2026-03-09,First Aid,0,0
P002_SAF_014,P002,2026-06-08,Medical Treatment,0,1
P002_SAF_015,P002,2026-07-31,Medical Treatment,0,1
P002_SAF_016,P002,2026-03-04,Near Miss,0,0
P002_SAF_017,P002,2026-04-06,Near Miss,0,0
P002_SAF_018,P002,2026-01-20,Near Miss,0,0
P002_SAF_LTI,P002,2025-11-11,Lost Time Injury,1,1
P003_SAF_001,P003,2025-11-21,First Aid,0,0
P003_SAF_002,P003,2025-11-06,Medical Treatment,0,1
P003_SAF_003,P003,2025-10-29,First Aid,0,0
P003_SAF_004,P003,2025-11-17,Lost Time Injury,1,1
P003_SAF_005,P003,2025-09-12,Near Miss,0,0
P003_SAF_006,P003,2026-07-20,Medical Treatment,0,1
P003_SAF_007,P003,2026-07-20,First Aid,0,0
P003_SAF_008,P003,2026-02-22,Near Miss,0,0
P003_SAF_009,P003,2025-10-30,First Aid,0,0
P003_SAF_010,P003,2026-05-14,Near Miss,0,0
P003_SAF_011,P003,2025-09-14,Near Miss,0,0
P003_SAF_012,P003,2025-10-02,Medical Treatment,0,1
P003_SAF_013,P003,2026-03-07,Medical Treatment,0,1
P003_SAF_014,P003,2025-12-03,Near Miss,0,0
P003_SAF_015,P003,2026-03-16,First Aid,0,0
P003_SAF_016,P003,2026-08-09,Near Miss,0,0
P003_SAF_017,P003,2025-11-21,Medical Treatment,0,1
P003_SAF_018,P003,2025-11-20,Near Miss,0,0
P003_SAF_LTI,P003,2026-02-17,Lost Time Injury,1,1
P004_SAF_001,P004,2026-06-19,Near Miss,0,0
P004_SAF_002,P004,2026-05-23,Near Miss,0,0
P004_SAF_003,P004,2026-03-18,Near Miss,0,0
P004_SAF_004,P004,2026-02-05,Near Miss,0,0
P004_SAF_005,P004,2025-11-24,Near Miss,0,0
P004_SAF_006,P004,2025-12-05,First Aid,0,0
P004_SAF_007,P004,2025-11-27,First Aid,0,0
P004_SAF_008,P004,2025-11-14,Lost Time Injury,1,1
P004_SAF_009,P004,2025-10-10,Near Miss,0,0
P004_SAF_010,P004,2026-04-12,Near Miss,0,0
P004_SAF_011,P004,2026-02-17,Medical Treatment,0,1
P004_SAF_012,P004,2026-04-20,Near Miss,0,0
P004_SAF_013,P004,2025-12-01,First Aid,0,0
P004_SAF_014,P004,2026-08-07,Near Miss,0,0
P004_SAF_015,P004,2026-07-31,First Aid,0,0
P004_SAF_016,P004,2026-05-20,Near Miss,0,0
P004_SAF_017,P004,2026-02-12,Lost Time Injury,1,1
P004_SAF_018,P004,2026-01-07,First Aid,0,0
P004_SAF_LTI,P004,2025-12-11,Lost Time Injury,1,1
P005_SAF_001,P005,2026-03-18,Medical Treatment,0,1
P005_SAF_002,P005,2025-10-04,Medical Treatment,0,1
P005_SAF_003,P005,2026-06-10,Near Miss,0,0
P005_SAF_004,P005,2025-12-15,Near Miss,0,0
P005_SAF_005,P005,2026-02-14,First Aid,0,0
P005_SAF_006,P005,2026-02-22,Medical Treatment,0,1
P005_SAF_007,P005,2026-02-07,Near Miss,0,0
P005_SAF_008,P005,2025-10-10,First Aid,0,0
P005_SAF_009,P005,2026-04-19,Near Miss,0,0
P005_SAF_010,P005,2026-01-30,First Aid,0,0
P005_SAF_011,P005,2026-04-24,Medical Treatment,0,1
P005_SAF_012,P005,2025-12-25,Medical Treatment,0,1
P005_SAF_013,P005,2026-01-05,Medical Treatment,0,1
P005_SAF_014,P005,2026-07-03,Near Miss,0,0
P005_SAF_015,P005,2026-04-23,Medical Treatment,0,1
P005_SAF_016,P005,2026-07-28,Lost Time Injury,1,1
P005_SAF_017,P005,2026-04-07,First Aid,0,0
P005_SAF_018,P005,2026-06-27,Medical Treatment,0,1
P005_SAF_LTI,P005,2026-07-16,Lost Time Injury,1,1
