project_id,activity_date,people_on_site,trades_on_site
P001,2026-08-14,121,12
P001,2026-08-13,138,12
P001,2026-08-12,84,10
P001,2026-08-11,45,14
P001,2026-08-10,99,9
P001,2026-08-09,58,10
P001,2026-08-08,83,8
P001,2026-08-07,96,3
P001,2026-08-06,103,3
P001,2026-08-05,84,9
P001,2026-08-04,112,15
P001,2026-08-03,107,7
P001,2026-08-02,56,14
P001,2026-08-01,89,9
P001,2026-07-31,125,10
P001,2026-07-30,101,10
P001,2026-07-29,145,9
P001,2026-07-28,67,3
P001,2026-07-27,133,5
P001,2026-07-26,48,5
P001,2026-07-25,48,3
P001,2026-07-24,29,6
P001,2026-07-23,45,10
P001,2026-07-22,82,17
P001,2026-07-21,134,6
P001,2026-07-20,35,6
P001,2026-07-19,39,5
P001,2026-07-18,31,5
P001,2026-07-17,52,5
P001,2026-07-16,131,12
P001,2026-07-15,29,7
P001,2026-07-14,118,8
P001,2026-07-13,120,10
P001,2026-07-12,88,12
P001,2026-07-11,62,17
P001,2026-07-10,120,14
P001,2026-07-09,105,17
P001,2026-07-08,32,10
P001,2026-07-07,49,11
P001,2026-07-06,90,17
P001,2026-07-05,74,5
P001,2026-07-04,73,6
P001,2026-07-03,92,16
P001,2026-07-02,129,11
P001,2026-07-01,113,12
P001,2026-06-30,143,16
P001,2026-06-29,138,12
P001,2026-06-28,45,6
P001,2026-06-27,36,13
P001,2026-06-26,128,4
P001,2026-06-25,142,15
P001,2026-06-24,77,17
P001,2026-06-23,40,14
P001,2026-06-22,122,13
P001,2026-06-21,34,17
P001,2026-06-20,41,10
P001,2026-06-19,42,9
P001,2026-06-18,97,11
P001,2026-06-17,128,13
P001,2026-06-16,102,14
P002,2026-08-14,146,11
P002,2026-08-13,138,8
P002,2026-08-12,140,16
P002,2026-08-11,108,7
P002,2026-08-10,68,5
P002,2026-08-09,70,3
P002,2026-08-08,144,7
P002,2026-08-07,123,12
P002,2026-08-06,56,16
P002,2026-08-05,143,9
P002,2026-08-04,137,14
P002,2026-08-03,129,17
P002,2026-08-02,42,7
P002,2026-08-01,37,16
P002,2026-07-31,45,16
P002,2026-07-30,32,16
P002,2026-07-29,128,16
P002,2026-07-28,31,9
P002,2026-07-27,132,13
P002,2026-07-26,110,8
P002,2026-07-25,131,11
P002,2026-07-24,46,14
P002,2026-07-23,53,15
P002,2026-07-22,106,4
P002,2026-07-21,53,7
P002,2026-07-20,103,6
P002,2026-07-19,51,4
P002,2026-07-18,119,17
P002,2026-07-17,139,9
P002,2026-07-16,112,14
P002,2026-07-15,101,8
P002,2026-07-14,67,7
P002,2026-07-13,85,3
P002,2026-07-12,80,5
P002,2026-07-11,87,8
P002,2026-07-10,43,9
P002,2026-07-09,53,16
P002,2026-07-08,63,14
P002,2026-07-07,135,11
P002,2026-07-06,125,17
P002,2026-07-05,32,12
P002,2026-07-04,82,10
P002,2026-07-03,25,14
P002,2026-07-02,29,5
P002,2026-07-01,89,6
P002,2026-06-30,128,5
P002,2026-06-29,120,12
P002,2026-06-28,122,13
P002,2026-06-27,113,12
P002,2026-06-26,45,16
P002,2026-06-25,127,13
P002,2026-06-24,51,4
P002,2026-06-23,65,15
P002,2026-06-22,33,6
P002,2026-06-21,60,8
P002,2026-06-20,130,12
P002,2026-06-19,82,8
P002,2026-06-18,36,3
P002,2026-06-17,102,16
P002,2026-06-16,145,4
P003,2026-08-14,77,11
P003,2026-08-13,44,13
P003,2026-08-12,40,5
P003,2026-08-11,119,9
P003,2026-08-10,94,10
P003,2026-08-09,107,7
P003,2026-08-08,82,6
P003,2026-08-07,135,15
P003,2026-08-06,28,6
P003,2026-08-05,34,10
P003,2026-08-04,142,5
P003,2026-08-03,50,7
P003,2026-08-02,126,7
P003,2026-08-01,78,10
P003,2026-07-31,127,7
P003,2026-07-30,98,8
P003,2026-07-29,70,6
P003,2026-07-28,84,11
P003,2026-07-27,69,6
P003,2026-07-26,41,9
P003,2026-07-25,95,6
P003,2026-07-24,117,16
P003,2026-07-23,27,10
P003,2026-07-22,125,12
P003,2026-07-21,79,6
P003,2026-07-20,28,10
P003,2026-07-19,48,4
P003,2026-07-18,54,4
P003,2026-07-17,43,17
P003,2026-07-16,84,14
P003,2026-07-15,43,3
P003,2026-07-14,87,16
P003,2026-07-13,107,8
P003,2026-07-12,48,15
P003,2026-07-11,100,16
P003,2026-07-10,82,8
P003,2026-07-09,141,17
P003,2026-07-08,124,5
P003,2026-07-07,72,15
P003,2026-07-06,124,16
P003,2026-07-05,79,3
P003,2026-07-04,79,3
P003,2026-07-03,42,17
P003,2026-07-02,140,3
P003,2026-07-01,147,14
P003,2026-06-30,147,17
P003,2026-06-29,99,11
P003,2026-06-28,148,8
P003,2026-06-27,69,3
P003,2026-06-26,41,8
P003,2026-06-25,28,6
P003,2026-06-24,136,17
P003,2026-06-23,115,17
P003,2026-06-22,94,17
P003,2026-06-21,102,14
P003,2026-06-20,99,9
P003,2026-06-19,33,12
P003,2026-06-18,40,7
P003,2026-06-17,145,6
P003,2026-06-16,85,12
P004,2026-08-14,74,5
P004,2026-08-13,101,13
P004,2026-08-12,137,16
P004,2026-08-11,142,15
P004,2026-08-10,94,3
P004,2026-08-09,147,15
P004,2026-08-08,75,7
P004,2026-08-07,43,12
P004,2026-08-06,59,16
P004,2026-08-05,50,5
P004,2026-08-04,93,15
P004,2026-08-03,88,7
P004,2026-08-02,108,3
P004,2026-08-01,45,12
P004,2026-07-31,88,7
P004,2026-07-30,124,8
P004,2026-07-29,114,6
P004,2026-07-28,127,9
P004,2026-07-27,138,5
P004,2026-07-26,25,10
P004,2026-07-25,81,6
P004,2026-07-24,94,11
P004,2026-07-23,78,16
P004,2026-07-22,84,14
P004,2026-07-21,84,11
P004,2026-07-20,55,6
P004,2026-07-19,48,11
P004,2026-07-18,60,7
P004,2026-07-17,54,10
P004,2026-07-16,132,12
P004,2026-07-15,54,8
P004,2026-07-14,116,9
P004,2026-07-13,59,9
P004,2026-07-12,116,16
P004,2026-07-11,144,12
P004,2026-07-10,104,8
P004,2026-07-09,119,12
P004,2026-07-08,113,15
P004,2026-07-07,94,14
P004,2026-07-06,97,15
P004,2026-07-05,124,10
P004,2026-07-04,131,6
P004,2026-07-03,106,12
P004,2026-07-02,131,11
P004,2026-07-01,45,6
P004,2026-06-30,74,3
P004,2026-06-29,115,9
P004,2026-06-28,94,17
P004,2026-06-27,39,4
P004,2026-06-26,56,10
P004,2026-06-25,99,6
P004,2026-06-24,112,17
P004,2026-06-23,72,9
P004,2026-06-22,45,12
P004,2026-06-21,50,14
P004,2026-06-20,144,16
P004,2026-06-19,81,7
P004,2026-06-18,82,7
P004,2026-06-17,106,7
P004,2026-06-16,27,9
P005,2026-08-14,114,7
P005,2026-08-13,112,3
P005,2026-08-12,43,5
P005,2026-08-11,113,7
P005,2026-08-10,36,11
P005,2026-08-09,85,11
P005,2026-08-08,57,4
P005,2026-08-07,141,6
P005,2026-08-06,130,11
P005,2026-08-05,95,8
P005,2026-08-04,143,3
P005,2026-08-03,105,10
P005,2026-08-02,85,15
P005,2026-08-01,122,14
P005,2026-07-31,82,13
P005,2026-07-30,65,9
P005,2026-07-29,110,3
P005,2026-07-28,41,4
P005,2026-07-27,94,16
P005,2026-07-26,94,4
P005,2026-07-25,89,12
P005,2026-07-24,109,7
P005,2026-07-23,26,8
P005,2026-07-22,136,11
P005,2026-07-21,90,12
P005,2026-07-20,122,5
P005,2026-07-19,149,9
P005,2026-07-18,110,14
P005,2026-07-17,112,17
P005,2026-07-16,64,8
P005,2026-07-15,84,13
P005,2026-07-14,34,5
P005,2026-07-13,88,5
P005,2026-07-12,87,3
P005,2026-07-11,88,9
P005,2026-07-10,45,6
P005,2026-07-09,50,17
P005,2026-07-08,92,16
P005,2026-07-07,140,8
P005,2026-07-06,39,10
P005,2026-07-05,128,7
P005,2026-07-04,103,8
P005,2026-07-03,140,14
P005,2026-07-02,38,13
P005,2026-07-01,149,11
P005,2026-06-30,64,12
P005,2026-06-29,52,12
P005,2026-06-28,137,17
P005,2026-06-27,90,11
P005,2026-06-26,144,16
P005,2026-06-25,27,10
P005,2026-06-24,68,3
P005,2026-06-23,66,6
P005,2026-06-22,123,8
P005,2026-06-21,63,6
P005,2026-06-20,47,11
P005,2026-06-19,147,4
P005,2026-06-18,67,5
P005,2026-06-17,93,5
P005,2026-06-16,35,10
