submittal_id,project_id,created_date,due_date,closed_date,status
P001_SUB_001,P001,2026-01-11,2026-02-03,2026-02-11,Closed
P001_SUB_002,P001,2026-05-16,2026-05-24,,Open
P001_SUB_003,P001,2026-01-30,2026-02-26,2026-02-12,Closed
P001_SUB_004,P001,2026-01-09,2026-02-05,2026-02-16,Closed
P001_SUB_005,P001,2026-02-03,2026-02-12,2026-03-13,Closed
P001_SUB_006,P001,2026-05-10,2026-06-08,2026-06-18,Closed
P001_SUB_007,P001,2025-11-19,2025-12-12,2025-12-14,Closed
P001_SUB_008,P001,2026-01-09,2026-01-18,,Open
P001_SUB_009,P001,2025-11-14,2025-12-07,2025-12-11,Closed
P001_SUB_010,P001,2026-02-08,2026-03-05,2026-02-22,Closed
P001_SUB_011,P001,2025-12-24,2026-01-18,,Open
P001_SUB_012,P001,2025-11-03,2025-11-23,2025-11-24,Closed
P001_SUB_013,P001,2026-03-23,2026-04-19,,Open
P001_SUB_014,P001,2026-07-20,2026-08-15,2026-08-27,Closed
P001_SUB_015,P001,2026-06-22,2026-07-21,2026-08-02,Closed
P001_SUB_016,P001,2026-04-27,2026-05-24,2026-06-07,Closed
P001_SUB_017,P001,2026-01-03,2026-01-14,2026-02-03,Closed
P001_SUB_018,P001,2025-12-22,2026-01-08,,Open
P001_SUB_019,P001,2026-05-30,2026-06-14,2026-06-18,Closed
P001_SUB_020,P001,2025-12-04,2025-12-16,,Open
P001_SUB_021,P001,2026-03-26,2026-04-09,,Open
P001_SUB_022,P001,2025-11-04,2025-11-12,,Open
P002_SUB_001,P002,2026-03-02,2026-03-14,2026-03-05,Closed
P002_SUB_002,P002,2026-03-22,2026-04-04,2026-03-28,Closed
P002_SUB_003,P002,2025-10-26,2025-11-07,2025-11-16,Closed
P002_SUB_004,P002,2026-02-13,2026-02-26,2026-03-13,Closed
P002_SUB_005,P002,2026-07-26,2026-08-08,2026-08-10,Closed
P002_SUB_006,P002,2025-12-15,2026-01-10,,Open
P002_SUB_007,P002,2026-08-13,2026-08-22,2026-09-09,Closed
P002_SUB_008,P002,2026-04-19,2026-05-01,2026-05-23,Closed
P002_SUB_009,P002,2026-02-22,2026-03-15,2026-03-17,Closed
P002_SUB_010,P002,2026-01-23,2026-02-03,,Open
P002_SUB_011,P002,2026-03-20,2026-04-15,,Open
P002_SUB_012,P002,2026-06-28,2026-07-13,,Open
P002_SUB_013,P002,2026-03-24,2026-03-31,2026-03-29,Closed
P002_SUB_014,P002,2026-03-23,2026-04-21,,Open
P002_SUB_015,P002,2026-08-02,2026-08-18,2026-08-12,Closed
P002_SUB_016,P002,2026-03-11,2026-04-07,,Open
P002_SUB_017,P002,2026-03-03,2026-03-17,2026-04-02,Closed
P002_SUB_018,P002,2026-01-06,2026-01-17,2026-02-04,Closed
P002_SUB_019,P002,2026-03-22,2026-04-06,2026-04-13,Closed
P002_SUB_020,P002,2026-01-06,2026-01-28,,Open
P002_SUB_021,P002,2026-06-29,2026-07-08,2026-07-19,Closed
P002_SUB_022,P002,2025-12-01,2025-12-12,2025-12-05,Closed
P003_SUB_001,P003,2026-08-04,2026-08-28,2026-08-11,Closed
P003_SUB_002,P003,2026-04-17,2026-04-24,2026-05-07,Closed
P003_SUB_003,P003,2026-01-02,2026-01-23,,Open
P003_SUB_004,P003,2025-11-05,2025-12-03,2025-11-20,Closed
P003_SUB_005,P003,2026-05-08,2026-05-23,2026-05-11,Closed
P003_SUB_006,P003,2026-08-08,2026-08-31,2026-08-15,Closed
P003_SUB_007,P003,2025-11-28,2025-12-25,2026-01-06,Closed
P003_SUB_008,P003,2026-01-24,2026-02-09,2026-02-16,Closed
P003_SUB_009,P003,2026-05-28,2026-06-12,,Open
P003_SUB_010,P003,2026-06-24,2026-07-13,2026-06-27,Closed
P003_SUB_011,P003,2025-10-30,2025-11-07,2025-11-09,Closed
P003_SUB_012,P003,2026-07-06,2026-07-14,2026-07-11,Closed
P003_SUB_013,P003,2025-11-19,2025-11-26,2025-11-26,Closed
P003_SUB_014,P003,2026-01-04,2026-01-27,,Open
P003_SUB_015,P003,2026-01-19,2026-01-30,2026-01-23,Closed
P003_SUB_016,P003,2026-05-31,2026-06-25,2026-07-06,Closed
P003_SUB_017,P003,2025-10-24,2025-11-17,2025-11-25,Closed
P003_SUB_018,P003,2025-12-08,2025-12-20,2025-12-25,Closed
P003_SUB_019,P003,2026-07-15,2026-08-13,2026-08-03,Closed
P003_SUB_020,P003,2026-04-03,2026-04-13,2026-04-22,Closed
